Color Style ,Aroma Intensity,Alcoholic Strength,Bitterness Intensity,Foam Level,Willing to pay (MXN)...,Score,Rank,Lower boundary of 90% confidence interval,Upper boundary of 90% confidence interval
Brown color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$60-$69,7.8652,455,6.464,9.3396
Pale color,Intense aromas,Medium alcohol content,Low bitterness,Medium foam,$50-$59,7.8426,456,6.0443,9.6834
Brown color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$30-$39,7.8416,457,6.2023,9.5349
Very dark color,Low intensity aromas,Intense alcohol content,No or very low bitterness,No or very low foam,$60-$69,7.8349,458,6.25,9.4101
Pale color,Medium intensity aromas,Intense alcohol content,Intense bitterness,High foam,$30-$39,7.8227,459,6.4243,9.3247
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,Low foam,$50-$59,7.808,460,6.1968,9.4086
Pale color,Intense aromas,Intense alcohol content,Medium bitterness,Medium foam,$50-$59,7.8013,461,6.0541,9.4391
Very dark color,Medium intensity aromas,Intense alcohol content,Very intense bitterness,No or very low foam,$40-$49,7.7963,462,6.3528,9.0845
Very dark color,Intense aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$60-$69,7.7814,463,6.2017,9.4078
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$50-$59,7.7759,464,6.5444,9.0495
Very dark color,Low intensity aromas,Intense alcohol content,Very intense bitterness,No or very low foam,$60-$69,7.7631,465,6.482,9.0199
Very dark color,Intense aromas,Medium alcohol content,Medium bitterness,No or very low foam,$60-$69,7.7493,466,6.774,8.7963
Very dark color,Very intense aromas,Very intense alcohol content,No or very low bitterness,Low foam,$30-$39,7.7479,467,6.1237,9.2664
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,High foam,$50-$59,7.7385,468,6.1587,9.4051
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,Low foam,$50-$59,7.7362,469,5.9575,9.5309
Very dark color,Medium intensity aromas,Very intense alcohol content,No or very low bitterness,Medium foam,$30-$39,7.7217,470,6.2098,9.1611
Very dark color,Very intense aromas,Medium alcohol content,Medium bitterness,Low foam,$30-$39,7.7158,471,5.9293,9.3978
Very dark color,Intense aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$60-$69,7.7095,472,6.1168,9.3329
Very dark color,Intense aromas,Intense alcohol content,Medium bitterness,Low foam,$40-$49,7.7053,473,5.975,9.3633
Brown color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$60-$69,7.6946,474,6.4138,9.1293
Very dark color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$30-$39,7.6896,475,6.0575,9.1363
Pale color,Low intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$60-$69,7.687,476,6.0216,9.4622
Very dark color,Very intense aromas,Very intense alcohol content,Very intense bitterness,Low foam,$30-$39,7.676,477,5.602,9.673
Brown color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$30-$39,7.671,478,6.1702,9.1277
Very dark color,Very intense aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$40-$49,7.6561,479,6.0353,9.3343
Very dark color,Medium intensity aromas,Very intense alcohol content,Very intense bitterness,Medium foam,$30-$39,7.6499,480,5.6036,9.5497
Amber color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$40-$49,7.6169,481,5.8418,9.377
Pale color,Low intensity aromas,Medium alcohol content,Intense bitterness,Medium foam,$40-$49,7.6152,482,6.0463,9.0089
Brown color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$40-$49,7.6035,483,6.2406,9.3342
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,No or very low foam,$70 or more,7.5989,484,5.8715,9.3745
Brown color,Very intense aromas,Intense alcohol content,Low bitterness,Low foam,$40-$49,7.5933,485,5.6236,9.675
Very dark color,Very intense aromas,Medium alcohol content,Low bitterness,No or very low foam,$50-$59,7.5932,486,6.1486,9.0688
Pale color,Medium intensity aromas,Medium alcohol content,Medium bitterness,High foam,$40-$49,7.5854,487,6.217,9.0689
Very dark color,Medium intensity aromas,Very intense alcohol content,No or very low bitterness,Low foam,$60-$69,7.572,488,5.7443,9.3979
Very dark color,Very intense aromas,Medium alcohol content,Low bitterness,Medium foam,$40-$49,7.5719,489,6.0826,9.2527
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,No or very low foam,$70 or more,7.5453,490,5.8242,9.5077
Very dark color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$60-$69,7.5399,491,6.0734,8.9047
Brown color,Intense aromas,Intense alcohol content,Medium bitterness,High foam,$40-$49,7.5259,492,5.5339,9.6456
Amber color,Intense aromas,Medium alcohol content,Medium bitterness,Low foam,$60-$69,7.514,493,5.7102,9.5044
Very dark color,Medium intensity aromas,Very intense alcohol content,Very intense bitterness,Low foam,$60-$69,7.5002,494,5.9193,9.1914
Amber color,Medium intensity aromas,Medium alcohol content,Intense bitterness,Low foam,$60-$69,7.4994,495,5.7034,9.4914
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$50-$59,7.4899,496,5.9364,9.0016
Very dark color,Intense aromas,Medium alcohol content,Intense bitterness,No or very low foam,$30-$39,7.4883,497,5.6861,9.2336
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$70 or more,7.4533,498,5.9152,8.9144
Very dark color,Intense aromas,Medium alcohol content,No or very low bitterness,No or very low foam,$40-$49,7.4371,499,6.3381,8.7587
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,Medium foam,$50-$59,7.4363,500,5.6336,9.3565
Very light color,Low intensity aromas,No or very low alcohol content,No or very low bitterness,Medium foam,$30-$39,4.4435,897,3.2061,5.7152
