Color Style ,Aroma Intensity,Alcoholic Strength,Bitterness Intensity,Foam Level,Willing to pay (MXN)...,Score,Rank,Lower boundary of 90% confidence interval,Upper boundary of 90% confidence interval
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,Low foam,$40-$49,14.1565,76,12.71,15.7149
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$50-$59,14.1516,77,12.6555,15.8011
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$40-$49,14.1303,78,12.8397,15.6485
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$60-$69,14.0972,79,12.6012,15.7362
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,Low foam,$30-$39,13.9888,80,12.63,15.4513
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,Low foam,$30-$39,13.9288,81,12.5006,15.3372
Pale color,Medium intensity aromas,Intense alcohol content,Intense bitterness,Medium foam,$30-$39,13.9241,82,12.3291,15.5594
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$30-$39,13.8968,83,12.492,15.1401
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,High foam,$30-$39,13.8594,84,12.2662,15.4362
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,Low foam,$30-$39,13.857,85,12.1725,15.547
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$40-$49,13.8371,86,12.5307,15.1719
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,No or very low foam,$50-$59,13.7741,87,12.4714,15.2623
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$40-$49,13.7529,88,12.3365,15.4136
Very dark color,Very intense aromas,Medium alcohol content,Low bitterness,No or very low foam,$30-$39,13.714,89,12.0717,15.4821
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,No or very low foam,$40-$49,13.7035,90,12.298,15.2233
Pale color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$40-$49,13.6868,91,12.0195,15.2195
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,No or very low foam,$40-$49,13.6115,92,12.3094,14.8146
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$30-$39,13.6107,93,12.1705,15.0534
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$40-$49,13.5579,94,12.0876,14.9736
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,Medium foam,$30-$39,13.5571,95,11.7638,15.3994
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,No or very low foam,$60-$69,13.5381,96,12.0524,15.2544
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,Low foam,$40-$49,13.4941,97,11.9987,15.1583
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,High foam,$30-$39,13.4819,98,11.6988,15.5394
